Căn hộ,Số công tơ,Chỉ số,Giờ,Đến ngày
P1.0201,15811971,179.63,23:29:45,02/10/2025
P1.0202,15811953,41.19,23:29:45,02/10/2025
P1.0203,16839008,83.04,23:29:45,02/10/2025
P1.0204,25803665,57.85,22:20:32,02/10/2025
P1.0205,23845687,2.43,22:20:32,02/10/2025
P1.0301,15813428,56.08,22:20:32,02/10/2025
P1.0302,15811955,40.33,22:20:32,02/10/2025
P1.0303,15813429,230.36,22:20:32,02/10/2025
P1.0304,15813422,0.54,22:20:32,02/10/2025
P1.0305,15813424,716.41,22:20:32,02/10/2025
P1.0306,15813425,145.97,22:20:32,02/10/2025
P1.0307,15813423,160.69,10:20:32,02/10/2025
P1.0308,15813430,54.39,10:20:32,02/10/2025
P1.0309,15813421,132.36,10:20:32,02/10/2025
P1.0310,17805015,12.73,23:29:45,02/10/2025
P1.0311,15811468,407.20,23:29:45,02/10/2025
P1.0312,15811717,2.50,23:29:45,02/10/2025
P1.0312A,24820686,43.35,23:29:45,02/10/2025
P1.0312B,15811975,28.68,23:29:45,02/10/2025
P1.0315,15811972,3.51,23:29:45,02/10/2025
P1.0316,15811470,0.00,23:29:45,02/10/2025
P1.0317,15811467,362.29,23:29:45,02/10/2025
P1.0401,15813441,0.00,10:20:32,02/10/2025
P1.0402,15813412,257.53,10:20:32,02/10/2025
P1.0403,15813414,480.12,10:20:32,02/10/2025
P1.0404,15813417,159.87,22:20:32,02/10/2025
P1.0405,15813419,42.58,22:20:32,02/10/2025
P1.0406,15813416,557.97,22:20:32,02/10/2025
P1.0407,15813415,128.96,22:20:32,02/10/2025
P1.0408,15813418,207.80,22:20:32,02/10/2025
P1.0409,15813413,547.76,22:20:32,02/10/2025
P1.0410,15813316,170.43,23:29:45,02/10/2025
P1.0411,15813312,137.29,23:29:45,02/10/2025
P1.0412,15811722,22.58,23:29:45,02/10/2025
P1.0412A,16827093,48.16,23:29:45,02/10/2025
P1.0412B,16827098,371.21,23:29:45,02/10/2025
P1.0415,15811723,0.00,23:29:45,02/10/2025
P1.0416,15811721,698.66,23:29:45,02/10/2025
P1.0417,21724710,-49.95,23:29:45,02/10/2025
P1.0501,15813420,313.87,22:20:32,02/10/2025
P1.0502,24820569,13.35,22:20:32,02/10/2025
P1.0503,15811493,2.93,22:20:32,02/10/2025
P1.0504,15811499,100.71,22:20:32,02/10/2025
P1.0505,24831355,135.76,22:20:32,02/10/2025
P1.0506,15811494,268.49,22:20:32,02/10/2025
P1.0507,15811497,481.35,22:20:32,02/10/2025
P1.0508,24820618,19.86,22:20:32,02/10/2025
P1.0509,25803607,78.61,22:20:32,02/10/2025
P1.0510,15811488,35.39,23:29:45,02/10/2025
P1.0511,24820559,49.59,23:29:45,02/10/2025
P1.0512,15811482,196.61,23:29:45,02/10/2025
P1.0512A,15811490,0.00,23:29:45,02/10/2025
P1.0512B,15811489,508.36,23:29:45,02/10/2025
P1.0515,15811484,62.78,23:29:45,02/10/2025
P1.0516,24820649,798.57,23:29:45,02/10/2025
P1.0517,15811495,16.53,23:29:45,02/10/2025
P1.0601,21724671,85.20,22:20:32,02/10/2025
